,X,Y
11576194,-99.09913,-73.97893
11578663,-156.74861,-48.205067
11580903,-115.03375,-0.5195935
11587890,-94.021935,-17.8122
11587893,-121.09654,-88.095604
11587899,144.91548,-21.069056
11587904,144.21489,-54.908825
11588589,114.7245,-30.557386
11590110,-114.947235,-129.94345
11590113,84.95251,14.626054
11590114,66.94279,-61.160175
11595101,29.242338,-149.8004
11595262,-154.17752,-70.38212
11595391,130.39626,0.75773734
11600656,50.510918,18.605694
11604609,138.41177,-62.788498
11606687,49.41496,-130.74106
11640935,-22.991314,-69.550285
11640943,-105.01805,-112.6127
11668653,63.640343,-100.31236
11673327,138.13388,-55.0994
11681302,-71.75743,-87.754425
11681541,34.770668,139.33018
11682336,19.639688,12.145878
11683908,80.27562,6.815291
11684178,-19.312262,37.033672
11689304,-68.0349,63.520683
11689307,18.092842,-33.389526
11691685,-14.406009,-121.59919
11691686,-111.192345,34.294514
11691703,135.81186,71.73497
11697932,29.340078,-33.895535
11697933,-54.0736,-78.77168
11697934,-68.4512,-138.88246
11697938,-127.41025,33.60876
11697939,-33.984566,-73.226074
11697946,-46.19629,-48.089306
11697948,134.31746,-68.45216
11698132,69.62525,-61.598816
11698133,46.061146,-38.129776
11698604,-50.706192,-78.85473
11702561,34.58408,-77.477715
11703464,-171.76135,-2.291187
11704074,26.40114,68.31243
11704079,-11.666661,-143.72429
11707086,96.79107,16.884062
11707094,-72.55017,-88.68124
11707096,16.785313,8.968247
11707097,128.76248,-15.700315
11707103,112.885704,-84.205795
11707105,153.1881,4.265128
11709486,-37.23339,45.03932
11711895,50.896988,-144.26031
11713630,-32.105618,-83.671074
11723149,-112.23228,75.95886
11726774,-24.240002,140.56602
11726800,141.77905,-56.17859
11728837,-22.508856,-40.85957
11733723,-134.2482,-10.337494
11733725,92.398865,44.18011
11738036,-154.35478,-0.5008843
11738037,-39.452232,-69.719734
11739262,47.210213,-135.15578
11739265,61.811012,-31.684406
11739597,68.14267,-153.90967
11742218,49.066967,162.82599
11742227,-54.656055,-72.66568
11742243,85.80192,-71.23625
11746614,18.029707,-105.70411
11750889,-159.9226,23.836546
11750903,2.373289,17.963509
11751032,-4.9584785,135.14787
11761469,84.83356,-131.85553
11771973,27.838524,-41.7637
11784773,-44.051796,-68.578026
11784775,83.03295,-20.621008
11784801,137.81534,18.74663
11790634,6.3321867,-12.797388
11792407,-26.635368,61.750874
11796700,7.4447155,1.3791674
11796770,141.35873,-50.154495
11798266,-50.1575,-142.76744
11798270,-4.4062586,-25.510742
11798277,24.12012,11.807158
11798383,41.46477,-75.267166
11798391,-102.71575,-112.85309
11804576,-86.03949,-41.25882
