PMID,MODALITY,MODALITY_CATEGORY,AGE_MIN,AGE_MAX,AGE_MEAN,AGE_SD,N_FEMALE,N_MALE,N
19112507,,,,,,,,,
27125824,,,,,,,,,
21051084,,,,,,,,,
17919466,,,,,,,,,
20600987,,,,,,,,,
24408441,,,,,,,,,
28253082,,,,,,,,,
23015426,,,,,,,,,
28407555,,,,,,,,,
16005646,,,,,,,,,
20146606,,,,,,,,,
27181060,,,,,,,,,
26594628,,,,,,,,,
14568457,,,,,,,,,
17448452,,,,,,,,,
28759567,,,,,,,,,
23147501,,,,,,,,,
19540861,,,,,,,,,
22185495,,,,,,,,,
18804959,,,,,,,,,
25853872,,,,,,,,,
22617829,,,,,,,,,
22287265,,,,,,,,,
16199012,,,,,,,,,
28702352,,,,,,,,,
20053431,,,,,,,,,
24621866,,,,,,,,,
19624392,,,,,,,,,
12160755,,,,,,,,,
23751864,,,,,,,,,
24745476,,,,,,,,,
27445736,,,,,,,,,
24478656,,,,,,,,,
12692470,,,,,,,,,
18986695,,,,,,,,,
25379713,,,,,,,,,
27444730,,,,,,,,,
21315749,,,,,,,,,
24382804,,,,,,,,,
10216270,,,,,,,,,
20603217,,,,,,,,,
28980133,,,,,,,,,
28575483,,,,,,,,,
24740815,,,,,,,,,
17337340,,,,,,,,,
17070707,,,,,,,,,
20537619,,,,,,,,,
20711448,,,,,,,,,
25698762,,,,,,,,,
29923098,,,,,,,,,
28399434,,,,,,,,,
27066149,,,,,,,,,
27614896,,,,,,,,,
20036289,,,,,,,,,
16157283,,,,,,,,,
22763187,,,,,,,,,
14561442,,,,,,,,,
21229616,,,,,,,,,
14981255,,,,,,,,,
22304628,,,,,,,,,
20956614,,,,,,,,,
18619845,,,,,,,,,
17209415,,,,,,,,,
27369069,,,,,,,,,
27074031,,,,,,,,,
12744947,,,,,,,,,
10666559,,,,,,,,,
26048620,,,,,,,,,
25761006,,,,,,,,,
29258852,,,,,,,,,
19545476,,,,,,,,,
23744303,,,,,,,,,
12948716,,,,,,,,,
